yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, induced, locality
2018-05-15, 01:09:41.8, 57.110, -4.679, 7.7, 1.0, 7, 0.3, , , FORT AUGUSTUS,HIGHLAND
2018-05-20, 02:24:56.0, 51.206, -4.731, 10.2, 1.2, 7, 0.3, , , BRISTOL CHANNEL
2018-05-20, 20:40:48.4, 55.769, -5.722, 8.8, 0.9, 7, 0.5, , , GIGHA,ARGYLL & BUTE
2018-05-23, 06:09:39.8, 61.583, 3.196, 10.1, 2.5, 6, 0.4, , , NORTHERN NORTH SEA
2018-05-25, 20:06:43.6, 57.159, -5.173, 7.9, 0.8, 6, 0.3, , , GLEN MORISTON,HIGHLAND
2018-05-26, 02:53:26.7, 51.764, -3.824, 7.8, 0.9, 7, 0.3, , , CWMLLYNFELL,NPT
2018-05-28, 02:09:39.8, 54.315, -3.023, 10.5, 0.8, 5, 0.3, , , SATTERTHWAITE,CUMBRIA
2018-05-30, 09:22:44.4, 57.110, -5.188, 7.5, 1.8, 8, 0.4, , , GLEN SHIEL,HIGHLAND
2018-05-30, 09:23:56.2, 57.107, -5.205, 7.7, 2.4, 9, 0.5, , , GLEN SHIEL,HIGHLAND
2018-05-30, 09:27:29.6, 57.109, -5.215, 7.0, 1.0, 4, 0.2, , , GLEN SHIEL,HIGHLAND
2018-05-31, 12:29:41.6, 57.107, -6.001, 7.9, 1.0, 4, 0.4, , , SKYE,HIGHLAND
2018-06-01, 22:43:36.4, 52.217, -3.541, 8.6, 0.6, 9, 0.1, , , NEWBRIDGE-ON-WYE,POWYS
2018-06-04, 14:07:42.0, 53.127, -4.537, 7.7, 1.2, 6, 0.2, , , CAERNARFON BAY
2018-06-05, 02:15:36.4, 53.491, -1.163, 6.8, 0.7, 5, 0.3, , , DONCASTER,S YORKSHIRE
2018-06-05, 21:19:41.3, 54.055, -2.540, 9.1, 1.9, 21, 0.5, 2 , , LOWGILL,LANCASHIRE
2018-06-06, 17:58:23.4, 54.610, -1.526, 17.0, 1.8, 18, 0.2, , , NEWTON AYCLIFFE,DURHAM
2018-06-08, 06:30:52.6, 54.611, -1.540, 14.2, 1.1, 15, 0.3, , , NEWTON AYCLIFFE,DURHAM
2018-06-09, 22:14:28.9, 53.648, -0.055, 19.3, 3.8, 49, 0.4, 4 , , GRIMSBY,NE LINCOLNSHIRE
2018-06-10, 18:48:49.4, 53.176, -4.753, 7.1, 0.5, 6, 0.2, , , CAERNARFON BAY
2018-06-12, 00:51:30.2, 52.725, -3.044, 9.9, 0.8, 7, 0.1, , , MIDDLETOWN,POWYS
2018-06-12, 04:26:33.8, 52.964, -1.923, 11.0, 1.0, 6, 0.2, , , CROXDEN,STAFFORDSHIRE
2018-06-12, 22:56:29.6, 51.003, -3.657, 8.4, 0.5, 5, 0.4, , , KNOWSTONE,DEVON
2018-06-14, 23:53:05.4, 56.515, -6.248, 7.8, 1.5, 6, 0.2, , , MULL,ARGYLL & BUTE
2018-06-15, 00:45:11.5, 52.568, -0.902, 5.2, 1.1, 5, 0.3, , , KIBWORTH,LEICESTERSHIRE
2018-06-15, 20:30:46.6, 56.112, -6.222, 8.3, 0.6, 5, 0.3, , , COLONSAY,ARGYLL & BUTE
2018-06-25, 20:05:51.5, 55.776, -6.414, 5.1, 1.0, 6, 0.3, , , ISLAY,ARGYLL & BUTE
2018-06-27, 12:28:23.8, 51.153, -0.238, 1.0, 2.6, 14, 1.1, 3 , , NEWDIGATE,SURREY
2018-06-28, 07:38:33.3, 55.861, -5.679, 8.3, 0.9, 5, 0.3, , , ORMSARY,ARGYLL & BUTE
2018-06-28, 21:33:25.2, 53.434, -1.554, 2.4, 0.9, 8, 0.5, , , SHEFFIELD,S YORKSHIRE
2018-06-29, 05:54:11.5, 51.178, -0.264, 1.0, 2.4, 13, 0.8, 3 , , NEWDIGATE,SURREY
2018-06-29, 18:22:27.6, 56.096, -5.218, 10.6, 0.7, 7, 0.2, , , BARNACARRY,ARGYLL/BUTE
2018-07-02, 06:45:58.4, 57.457, -5.652, 6.3, 0.9, 6, 0.3, , , SHIELDAIG,HIGHLAND
2018-07-05, 02:16:39.0, 55.258, -3.520, 4.1, 0.7, 7, 0.2, , , JOHNSTONEBRIDGE,D & G
2018-07-05, 10:53:25.1, 51.163, -0.246, 1.0, 3.0, 24, 1.0, 4 , , NEWDIGATE,SURREY
2018-07-10, 02:48:57.8, 54.147, -4.282, 1.9, 0.5, 8, 0.2, , , IRISH SEA
2018-07-10, 16:03:10.3, 51.171, -0.233, 1.0, 1.9, 10, 0.7, 3 , , NEWDIGATE,SURREY
2018-07-11, 10:11:26.9, 54.686, -1.250, 8.2, 2.3, 24, 0.3, , , HARTLEPOOL,CO DURHAM
2018-07-12, 03:18:56.6, 55.234, -3.514, 4.1, 1.0, 13, 0.4, , , JOHNSTONEBRIDGE,D & G
2018-07-15, 04:04:07.0, 55.134, -2.957, 2.5, 0.2, 7, 0.3, , , LANGHOLM,D & G
2018-07-18, 02:26:07.9, 55.094, -4.167, 10.2, 0.2, 6, 0.2, , , DALRY,D & G
2018-07-18, 03:59:56.8, 51.162, -0.250, 1.0, 1.9, 14, 0.9, 3 , , NEWDIGATE,SURREY
2018-07-18, 04:00:09.7, 51.162, -0.250, 1.0, 0.3, 2, 0.3, , , NEWDIGATE,SURREY
2018-07-18, 13:33:18.8, 51.158, -0.239, 1.0, 2.4, 15, 0.8, 3 , , NEWDIGATE,SURREY
2018-07-18, 13:33:38.4, 51.158, -0.239, 1.0, 0.9, 3, 0.3, , , NEWDIGATE,SURREY
2018-07-18, 21:59:08.5, 53.133, -4.396, 12.8, 1.1, 8, 0.1, 3 , , CAERNARFON BAY
2018-07-21, 04:53:27.1, 56.988, -5.456, 7.5, 0.6, 4, 0.2, , , LOCH NEVIS,HIGHLAND
2018-07-25, 03:26:33.4, 59.135, -11.510, 10.0, 2.2, 9, 0.5, , , NORTH ATLANTIC
2018-07-26, 09:35:43.9, 57.568, -5.588, 4.0, 1.0, 5, 0.2, , , TORRIDON,HIGHLAND
2018-07-27, 03:58:38.3, 52.171, -2.411, 7.5, 1.5, 13, 0.4, , , SUCKLEY,WORCESTERSHIRE
2018-07-28, 05:39:35.7, 52.229, -4.163, 6.5, 1.0, 7, 0.2, , , CILCENNIN,CEREDIGION
2018-07-28, 22:18:02.5, 52.310, -2.420, 12.9, 0.5, 5, 0.1, , , EARDISTON,WORCS
2018-07-29, 00:03:08.5, 55.797, -6.373, 4.4, 1.7, 7, 0.8, , , ISLAY,ARGYLL & BUTE
2018-08-02, 17:42:51.9, 52.607, 0.451, 4.4, 2.7, 10, 0.4, 3 , , DOWNHAM MARKET,NORFOLK
2018-08-04, 02:56:24.1, 52.697, -0.715, 2.7, 1.8, 14, 0.4, 3 , , OAKHAM,RUTLAND
2018-08-04, 12:00:56.3, 54.862, -3.259, 4.2, 0.0, 5, 0.3, , , ABBEYTOWN,CUMBRIA
2018-08-05, 10:29:52.6, 53.727, -2.343, 9.7, 1.0, 10, 0.2, , , BAXENDEN,LANCASHIRE
2018-08-07, 12:26:31.8, 59.099, -2.563, 10.3, 1.4, 5, 0.1, , , ORKNEY ISLANDS
2018-08-08, 00:01:08.8, 53.262, -2.633, 15.4, 0.9, 10, 0.2, , , CROWTON,CHESHIRE
2018-08-12, 21:14:00.6, 53.072, -3.020, 3.8, 0.6, 4, 0.1, , , GWERSYLLT,WREXHAM
2018-08-16, 19:51:02.5, 51.181, -4.744, 16.6, 1.2, 8, 0.3, , , BRISTOL CHANNEL
2018-08-18, 03:21:58.2, 51.158, -0.251, 2.1, -0.2, 5, 0.0, , , NEWDIGATE,SURREY
2018-08-19, 14:42:31.4, 55.697, -6.185, 6.8, 0.6, 7, 0.5, , , ISLAY,ARGYLL & BUTE
2018-08-19, 20:00:19.9, 53.989, -3.468, 9.6, 0.6, 5, 0.3, , , IRISH SEA
2018-08-19, 22:06:22.1, 53.534, -3.533, 13.3, 1.2, 14, 0.2, , , IRISH SEA
2018-08-26, 21:59:51.8, 58.237, 1.194, 8.2, 2.3, 11, 0.3, , , CENTRAL NORTH SEA
2018-08-28, 04:59:21.2, 54.423, -0.881, 31.6, 2.8, 51, 0.2, , , FRYUP,NORTH YORKSHIRE
2018-08-30, 21:02:43.0, 53.930, -3.695, 2.5, 1.3, 18, 0.4, , , IRISH SEA
2018-08-30, 22:34:48.9, 55.969, -4.773, 11.8, 2.4, 16, 0.3, 3 , , FIRTH OF CLYDE
2018-09-06, 08:23:32.7, 55.233, -3.510, 4.1, 1.2, 9, 0.4, , , JOHNSTONEBRIDGE,D & G
2018-09-06, 19:40:06.7, 55.268, -3.537, 4.0, 0.6, 4, 0.3, , , JOHNSTONEBRIDGE,D & G
2018-09-07, 19:00:13.7, 52.935, -2.023, 7.5, 1.5, 13, 0.3, , , CRESSWELL,STAFFORDSHIRE
2018-09-09, 03:48:29.8, 53.313, -3.801, 6.8, 0.3, 5, 0.3, , , LLANDUDNO,CONWY
2018-09-14, 00:03:36.0, 50.176, -5.114, 1.0, 0.9, 4, 0.3, , , PENRYN,CORNWALL
2018-09-14, 00:19:48.1, 50.174, -5.115, 1.0, 0.3, 3, 0.2, , , PENRYN,CORNWALL
2018-09-14, 03:05:05.9, 50.165, -5.108, 1.0, 1.1, 4, 0.3, 2 , , PENRYN,CORNWALL
2018-09-15, 02:01:50.3, 59.065, -7.887, 12.6, 1.6, 5, 0.3, , , NW ISLE OF LEWIS
2018-09-15, 18:15:13.7, 56.110, -5.912, 6.7, 0.9, 6, 0.2, , , JURA,ARGYLL & BUTE
2018-09-15, 18:39:09.0, 54.568, -1.639, 23.7, 3.1, 46, 0.3, , , NEWTON AYCLIFFE,DURHAM
2018-09-16, 10:26:46.7, 55.660, -5.407, 9.4, 0.9, 6, 0.2, , , ARRAN,NORTH AYRSHIRE
2018-09-17, 16:56:37.5, 55.113, -2.783, 13.0, 1.4, 7, 0.4, , , CATLOWDY,CUMBRIA
2018-09-19, 00:59:43.8, 53.107, -1.928, 13.9, 0.4, 5, 0.2, , , LEEK,STAFFODSHIRE
2018-09-21, 05:42:03.8, 52.430, -2.798, 6.6, 0.7, 5, 0.2, , , CRAVEN ARMS,SHROPSHIRE
2018-09-24, 01:34:57.1, 54.651, -3.672, 4.2, 0.4, 6, 0.3, , , WORKINGTON,CUMBRIA
2018-09-25, 13:42:18.9, 50.187, -5.083, 1.0, 1.4, 4, 0.3, 2 , , PENRYN,CORNWALL
2018-09-25, 17:54:32.1, 53.537, 1.640, 13.9, 2.3, 6, 0.4, , , SOUTHERN NORTH SEA
2018-09-26, 13:02:07.8, 58.969, 1.426, 23.3, 2.8, 10, 0.4, , , CENTRAL NORTH SEA
2018-09-27, 05:34:13.8, 54.610, -3.661, 4.4, 0.4, 5, 0.2, , , WORKINGTON,CUMBRIA
2018-09-28, 08:28:24.2, 57.023, -4.949, 14.3, 1.7, 5, 0.3, , , INVERGARRY,HIGHLAND
2018-09-28, 22:55:00.1, 51.177, -0.226, 2.4, -0.4, 4, 0.0, , , NEWDIGATE,SURREY
2018-09-29, 11:16:15.8, 57.400, -4.342, 7.7, 1.4, 7, 0.3, , , LOCHEND,HIGHLAND
2018-10-04, 17:35:05.8, 52.030, -3.067, 16.1, 0.9, 5, 0.2, , , CRASWELL,HEREFORDSHIRE
2018-10-05, 23:26:47.3, 55.888, -5.422, 8.3, 0.5, 4, 0.6, , , TARBERT,ARGYLL & BUTE
2018-10-06, 06:15:34.3, 52.425, -0.753, 5.6, 1.0, 5, 0.4, , , KETTERING,NORTHANTS
2018-10-06, 16:29:26.6, 50.296, -4.858, 1.0, 0.6, 8, 0.3, , , GRAMPOUND,CORNWALL
2018-10-07, 06:48:04.4, 52.821, -1.057, 6.0, 1.4, 7, 0.3, , , KEYWORTH,NOTTS
2018-10-10, 12:04:56.9, 50.170, -5.147, 1.0, 0.8, 6, 0.0, , , PENRYN,CORNWALL
2018-10-12, 14:21:25.4, 51.658, -3.118, 6.8, 2.4, 11, 0.3, , , NEWBRIDGE,CAERPHILLY
2018-10-13, 03:05:14.9, 57.659, -5.576, 7.7, 0.8, 5, 0.4, , , TALLADALE,HIGHLAND
2018-10-13, 04:37:20.7, 51.886, -3.292, 7.3, 0.8, 4, 0.4, , , TALYBONT-ON-USK,POWYS
2018-10-14, 02:24:40.3, 55.231, -3.519, 2.5, 0.8, 8, 0.5, , , JOHNSTONEBRIDGE,D & G
2018-10-15, 09:49:19.8, 51.984, -3.576, 7.9, 0.9, 5, 0.1, , , SENNYBRIDGE,POWYS
2018-10-16, 19:52:11.8, 51.159, -0.244, 2.3, -0.6, 5, 0.0, , , NEWDIGATE,SURREY
2018-10-18, 15:48:53.3, 53.787, -2.970, 2.1, -0.4, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-18, 22:54:46.5, 53.786, -2.971, 2.8, -0.9, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-18, 23:44:41.7, 53.788, -2.972, 1.9, -0.4, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-19, 13:20:48.3, 53.787, -2.970, 2.3, 0.0, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-19, 23:43:44.9, 51.176, -0.256, 2.3, -0.5, 4, 0.0, , , NEWDIGATE,SURREY
2018-10-20, 03:44:01.1, 53.788, -2.965, 2.2, -0.2, 12, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-20, 03:44:55.1, 51.027, -2.897, 2.8, 1.2, 9, 0.2, , , CURRY RIVEL,SOMERSET
2018-10-21, 14:45:52.7, 57.196, -5.252, 6.2, 1.0, 5, 0.3, , , GLEN MORISTON,HIGHLAND
2018-10-23, 09:44:57.0, 51.971, -2.432, 8.8, 0.9, 4, 0.1, , , DYMOCK,GLOUCESTERSHIRE
2018-10-23, 14:45:32.2, 53.788, -2.964, 0.6, 0.0, 13, 0.2, , I , BLACKPOOL,LANCASHIRE
2018-10-24, 13:02:29.1, 53.787, -2.965, 2.2, 0.3, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-24, 13:26:26.3, 53.788, -2.965, 2.2, 0.2, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-24, 13:51:31.2, 53.788, -2.967, 1.8, -0.3, 11, 0.2, , I , BLACKPOOL,LANCASHIRE
2018-10-24, 14:38:30.1, 53.788, -2.966, 2.1, -0.1, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-24, 20:18:05.6, 52.942, -3.911, 9.0, 1.3, 11, 0.2, 3 , , FFESTINIOG,GWYNEDD
2018-10-24, 23:56:12.8, 53.786, -2.965, 2.4, -0.3, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-25, 14:59:27.1, 53.788, -2.965, 2.3, 0.3, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-25, 17:00:33.8, 53.788, -2.968, 2.1, -0.1, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-25, 17:04:13.3, 53.786, -2.963, 2.2, -0.6, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-26, 02:13:01.6, 53.787, -2.966, 2.3, -0.2, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-26, 11:26:44.6, 53.788, -2.964, 2.2, 0.2, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-26, 11:36:58.4, 53.787, -2.963, 2.9, 0.8, 14, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-26, 20:39:22.7, 53.786, -2.966, 2.3, -0.1, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 10:47:37.4, 53.787, -2.962, 2.2, -0.3, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 10:55:25.2, 53.789, -2.963, 2.5, 0.8, 14, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 11:07:16.6, 53.787, -2.964, 2.2, -0.2, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 11:44:31.1, 53.788, -2.963, 2.4, 0.0, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 13:12:34.7, 53.787, -2.964, 2.2, -0.4, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-27, 15:02:02.6, 51.159, -0.246, 2.3, -0.2, 5, 0.0, , , NEWDIGATE,SURREY
2018-10-29, 11:30:38.9, 53.789, -2.962, 2.9, 1.1, 14, 0.1, 2 , I , BLACKPOOL,LANCASHIRE
2018-10-29, 11:44:41.8, 53.788, -2.964, 2.5, -0.2, 8, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-29, 11:43:29.3, 53.786, -2.963, 2.4, -0.4, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-29, 11:58:34.5, 53.788, -2.964, 2.3, 0.0, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-29, 18:01:12.2, 53.788, -2.963, 2.5, 0.5, 12, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-29, 21:08:52.2, 57.667, -6.246, 12.0, 2.0, 9, 0.3, 2 , , SKYE,HIGHLAND
2018-10-29, 21:13:58.6, 53.787, -2.964, 2.3, 0.1, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-30, 01:37:37.4, 53.788, -2.962, 2.1, -0.3, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-30, 14:36:38.4, 53.788, -2.962, 2.0, -0.5, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-10-30, 15:55:40.0, 53.787, -2.964, 2.3, -0.4, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-11-01, 06:50:58.8, 53.788, -2.964, 2.2, -0.3, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-11-02, 00:08:56.3, 52.531, -2.343, 10.7, 1.1, 8, 0.5, , , BRIDGNORTH,SHROPSHIRE
2018-11-02, 17:44:58.9, 53.788, -2.963, 2.2, -0.5, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-11-02, 22:59:27.4, 53.788, -2.962, 2.2, -0.5, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-11-03, 06:09:33.6, 55.837, -6.388, 6.0, 1.4, 6, 0.1, , , ISLAY,ARGYLL & BUTE
2018-11-04, 16:24:06.2, 53.787, -2.958, 2.5, 0.7, 12, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-11-09, 01:37:13.2, 57.730, -5.193, 2.7, 0.9, 5, 0.2, , , LOCHBROOM,HIGHLAND
2018-11-09, 22:05:24.7, 53.114, -3.129, 9.0, 1.5, 6, 0.1, , , TREUDDYN,FLINTSHIRE
2018-11-12, 18:58:06.8, 56.475, -3.907, 2.5, 1.4, 8, 0.3, , , CRIEFF,PERTH & KINROSS
2018-11-12, 23:05:59.4, 52.229, -2.717, 14.6, 2.3, 14, 0.2, 2 , , LEOMINSTER,HEREF
2018-11-15, 05:43:28.8, 52.644, -2.438, 7.5, 1.1, 7, 0.2, , , TELFORD,SHROPSHIRE
2018-11-15, 16:46:14.4, 56.417, -5.611, 2.0, 0.8, 5, 0.4, , , MULL,ARGYLL & BUTE
2018-11-19, 05:23:44.1, 54.562, -1.892, 11.9, 1.7, 17, 0.4, , , BARNARD CASTLE,DURHAM
2018-11-20, 00:54:59.1, 51.159, -0.244, 2.3, -0.7, 4, 0.0, , , NEWDIGATE,SURREY
2018-11-20, 22:44:58.5, 56.151, -4.987, 2.5, 0.9, 8, 0.5, , , STRACHUR,ARGYLL & BUTE
2018-11-21, 20:36:47.2, 55.747, -5.472, 7.7, 0.5, 5, 0.3, , , CLACHAN,ARGYLL & BUTE
2018-11-22, 02:03:02.7, 53.209, -0.444, 9.4, 0.9, 6, 0.3, , , HEIGHINGTON,LINCS
2018-11-22, 08:43:46.2, 54.771, -2.607, 10.8, 0.8, 8, 0.2, , , RENWICK,CUMBRIA
2018-11-22, 18:05:02.4, 54.245, -0.219, 0.0, 2.1, 23, 0.3, , , FILEY,NORTH YORKSHIRE
2018-11-24, 13:15:27.6, 53.745, -3.281, 13.4, 0.9, 11, 0.2, , , IRISH SEA
2018-11-25, 19:29:19.5, 56.522, -4.366, 3.7, 0.5, 6, 0.2, , , KILLIN,STIRLING
2018-11-25, 20:14:23.5, 56.187, -5.156, 3.5, 1.0, 6, 0.4, , , INVERARAY,ARGYLL/BUTE
2018-11-26, 14:06:01.8, 51.020, -4.644, 31.2, 1.3, 7, 0.2, , , OFF HARTLAND PT,DEVON
2018-12-03, 20:13:53.7, 52.904, -1.270, 5.7, 0.8, 6, 0.2, , , LONG EATON,DERBYSHIRE
2018-12-04, 05:07:15.4, 51.158, -0.252, 2.2, -0.8, 4, 0.0, , , NEWDIGATE,SURREY
2018-12-05, 19:14:32.6, 51.933, -0.690, 6.2, 1.5, 9, 0.2, , , SOULBURY,BUCKS
2018-12-05, 19:45:31.8, 51.941, -0.692, 5.8, 1.0, 7, 0.3, , , SOULBURY,BUCKS
2018-12-09, 05:59:15.4, 55.250, -3.533, 2.4, 0.7, 9, 0.5, , , JOHNSTONEBRIDGE,D & G
2018-12-10, 10:30:57.8, 53.788, -2.960, 2.1, -0.3, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 09:35:01.1, 53.789, -2.963, 1.8, -0.1, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 09:34:03.3, 53.789, -2.963, 1.8, -0.2, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 09:51:36.4, 53.790, -2.964, 1.4, -0.4, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 09:53:31.1, 53.789, -2.961, 1.6, 0.1, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 10:06:44.6, 53.788, -2.962, 1.9, -0.1, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 10:18:46.4, 53.790, -2.962, 2.3, 0.0, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 10:20:27.3, 53.791, -2.968, 0.0, -0.6, 8, 0.2, , I , BLACKPOOL.LANCASHIRE
2018-12-11, 10:24:26.0, 53.790, -2.962, 1.8, -0.5, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 10:34:35.3, 53.790, -2.963, 1.7, 0.0, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-11, 11:21:15.2, 53.789, -2.960, 1.8, 1.5, 15, 0.1, 2 , I , BLACKPOOL,LANCASHIRE
2018-12-12, 16:45:46.7, 51.924, -4.447, 6.4, 1.4, 8, 0.3, , , PEN-Y-BONT,CARMARTHS
2018-12-13, 13:25:16.7, 53.789, -2.961, 2.1, 0.0, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 05:26:17.3, 52.987, -3.574, 10.9, 0.3, 4, 0.0, , , LLANGWM,CONWY
2018-12-14, 13:06:05.3, 53.789, -2.962, 1.7, -0.2, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:05:50.3, 53.789, -2.963, 1.8, -0.6, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:06:36.8, 53.789, -2.962, 1.8, -0.7, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:09:51.4, 53.789, -2.960, 1.7, 0.1, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:18:30.3, 53.789, -2.962, 1.8, -0.1, 10, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:34:42.2, 53.789, -2.962, 1.8, -0.4, 9, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:35:50.1, 53.790, -2.963, 1.9, -0.5, 8, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 13:41:05.5, 53.789, -2.959, 2.2, 0.9, 12, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-14, 14:51:56.5, 53.789, -2.961, 2.1, 0.1, 11, 0.1, , I , BLACKPOOL,LANCASHIRE
2018-12-15, 18:11:55.3, 51.159, -0.245, 2.5, -0.6, 4, 0.0, , , NEWDIGATE,SURREY
2018-12-16, 20:23:00.0, 52.947, -4.557, 10.1, 0.6, 8, 0.1, , , LLEYN PENINSULA
2018-12-19, 15:47:54.9, 52.963, -4.389, 20.3, 1.0, 8, 0.1, , , LLEYN PENINSULA
2018-12-22, 17:13:37.3, 56.704, -5.886, 7.7, 0.7, 5, 0.2, , , LAGA,HIGHLAND
2018-12-24, 13:36:18.4, 51.886, -1.075, 14.1, 0.8, 5, 0.2, , , BICESTER,OXFORDSHIRE
2018-12-26, 13:06:01.2, 54.932, -1.353, 8.2, 1.6, 15, 0.3, , , SEABURN,TYNE & WEAR
2018-12-28, 17:15:07.8, 51.161, -0.263, 2.0, -0.6, 3, 0.0, , , NEWDIGATE,SURREY
2019-01-01, 01:18:31.1, 52.412, -3.139, 7.5, 1.6, 13, 0.3, , , QUABBS,SHROPSHIRE
2019-01-02, 04:44:25.3, 55.787, -5.762, 9.0, 0.9, 6, 0.3, , , SOUND OF JURA
2019-01-02, 12:02:45.6, 51.168, -0.255, 2.9, -0.4, 4, 0.1, , , NEWDIGATE,SURREY
2019-01-02, 23:44:07.1, 51.492, -0.970, 8.2, 1.5, 10, 0.3, 2 , , CAVERSHAM,READING
2019-01-03, 02:20:54.0, 56.584, -5.924, 8.4, 2.2, 14, 0.4, 3 , , MORVEN,HIGHLAND
2019-01-06, 18:07:44.2, 56.653, -6.256, 8.1, 1.4, 10, 0.3, , , MULL,ARGYLL & BUTE
2019-01-06, 22:09:46.3, 51.272, -2.959, 9.9, 1.7, 12, 0.2, , , LYMPSHAM,SOMERSET
2019-01-10, 00:42:21.6, 51.804, -4.456, 4.6, 0.9, 8, 0.2, , , ST CLEARS,CARMARTHS
2019-01-10, 01:13:53.0, 57.584, -5.377, 4.1, 0.8, 7, 0.4, , , KINLOCHEWE,HIGHLAND
2019-01-11, 22:51:23.3, 53.733, 1.089, 6.2, 2.6, 11, 0.4, , , SOUTHERN NORTH SEA
2019-01-14, 17:58:12.1, 55.271, -3.515, 7.7, 0.7, 5, 0.4, , , BEATTOCK,D & G
2019-01-16, 17:01:47.4, 56.801, -5.691, 7.4, 1.4, 7, 0.4, , , MOIDART,HIGHLAND
2019-01-18, 02:33:37.6, 50.725, -4.460, 3.5, 1.4, 6, 0.3, , , WHITSTONE,CORNWALL
2019-01-19, 00:00:03.5, 54.637, -3.868, 4.5, 0.5, 8, 0.2, , , IRISH SEA
2019-01-20, 02:13:52.3, 53.160, -2.801, 7.7, 1.0, 10, 0.2, , , CHESTER,CHESHIRE
2019-01-23, 07:10:33.1, 52.990, -3.531, 12.2, 0.7, 5, 0.1, , , LLANGWM,CONWY
2019-01-24, 02:20:20.1, 56.087, -5.352, 10.6, 1.5, 10, 0.4, 3 , , LOCHGAIR,ARGYLL & BUTE
2019-01-25, 20:00:12.9, 55.023, -2.879, 8.3, 1.0, 9, 0.1, , , LONGTOWN,CUMBRIA
2019-01-26, 02:50:32.9, 53.080, -2.112, 14.2, 1.2, 8, 0.3, , , ENDON,STAFFORDSHIRE
2019-01-26, 07:16:37.0, 56.597, -4.130, 2.4, 1.0, 6, 0.3, , , GLENLYON,PERTH/KINROSS
2019-01-26, 07:19:10.3, 55.019, -2.887, 7.8, 1.1, 8, 0.2, , , LONGTOWN,CUMBRIA
2019-01-27, 23:48:19.1, 53.202, -0.250, 26.8, 2.2, 7, 0.3, , , BUCKNALL,LINCOLNSHIRE
